年份_季度,居民人均可支配收入_累计值,居民人均可支配工资性收入_累计值,居民人均可支配经营净收入_累计值,居民人均可支配财产净收入_累计值,居民人均可支配转移净收入_累计值
2014_Q一,5562,3187,1047,443,885
2014_Q二,10025,5785,1737,804,1698
2014_Q三,14986,8606,2628,1192,2560
2014_Q四,20167,11421,3732,1588,3427
2015_Q一,6087,3487,1122,480,998
2015_Q二,10931,6308,1848,882,1892
2015_Q三,16367,9385,2805,1313,2865
2015_Q四,21966,12459,3956,1740,3812
2016_Q一,6619,3757,1207,545,1111
2016_Q二,11886,6846,1999,963,2078
2016_Q三,17735,10128,3029,1421,3158
2016_Q四,23821,13455,4218,1889,4259
2017_Q一,7184,4084,1280,583,1237
2017_Q二,12932,7435,2117,1056,2324
2017_Q三,19342,11019,3212,1569,3542
2017_Q四,25974,14620,4502,2107,4744
2018_Q一,7815,4450,1372,643,1351
2018_Q二,14063,8091,2265,1166,2541
2018_Q三,21035,11984,3437,1735,3879
2018_Q四,28228,15829,4852,2379,5168
2019_Q一,8493,4838,1486,721,1449
2019_Q二,15294,8793,2467,1321,2715
2019_Q三,22882,13020,3757,1949,4157
2019_Q四,30733,17186,5247,2619,5680
2020_Q一,8561,4896,1376,741,1548
2020_Q二,15666,9010,2341,1376,2938
2020_Q三,23781,13486,3680,2090,4525
2020_Q四,32189,17917,5307,2791,6173
2021_Q一,9730,5505,1645,867,1714
2021_Q二,17642,10104,2752,1582,3204
2021_Q三,26265,14917,4136,2329,4884
2021_Q四,35128,19629,5893,3076,6531
